program,sequence_id,pass_sequence,execution_time,binary_size,feature_total_instructions,feature_total_basic_blocks,feature_total_lines,feature_num_functions,feature_num_declarations,feature_total_function_calls,feature_num_br,feature_num_conditional_br,feature_num_unconditional_br,feature_num_switch,feature_num_select,feature_num_icmp,feature_num_fcmp,feature_num_ret,feature_num_phi,feature_num_load,feature_num_store,feature_num_alloca,feature_num_getelementptr,feature_num_ptrtoint,feature_num_inttoptr,feature_num_memcpy,feature_num_memset,feature_num_memmove,feature_num_add,feature_num_sub,feature_num_mul,feature_num_div,feature_num_rem,feature_num_fadd,feature_num_fsub,feature_num_fmul,feature_num_fdiv,feature_num_and,feature_num_or,feature_num_xor,feature_num_shl,feature_num_shr,feature_estimated_loops,feature_num_back_edges,feature_num_direct_calls,feature_num_indirect_calls,feature_num_tail_calls,feature_uses_i1,feature_uses_i8,feature_uses_i32,feature_uses_i64,feature_uses_float,feature_uses_double,feature_uses_ptr,feature_uses_array,feature_uses_vector,feature_cyclomatic_complexity,feature_avg_block_size,feature_memory_intensity,feature_branch_intensity,feature_arithmetic_intensity,feature_call_intensity,feature_phi_ratio,feature_load_store_ratio,machine_m,machine_a,machine_f,machine_d,machine_c,machine_lui-addi-fusion,machine_zba,machine_auipc-addi-fusion,machine_zcmp,machine_zbs,machine_zbb,machine_ld-add-fusion,machine_zbc,machine_zcb,machine_relocation-model,machine_O,machine_relax,machine_code-model,machine_conditional-cmv-fusion,machine_no-optimized-zero-stride-load,machine_fast-unaligned-access,machine_zcmt,machine_v
03_counting_sort,1,partial-inliner lowerswitch adce loop-unroll,0.020124156999372644,561448,138,20,295,2,7,12,20,5,15,0,0,5,0,2,0,61,28,17,13,0,0,0,0,0,10,4,2,0,1,0,0,0,1,0,0,0,0,0,0,25,12,0,0,5,1,146,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,0.0,2.1785714285714284,True,True,True,True,True,False,False,False,False,,,,,,,,,,,,,,
03_counting_sort,4,deadargelim instcombine gvn slp-vectorizer slp-vectorizer loop-vectorize lowerswitch dse loop-simplify,0.025292567999713356,561456,138,20,295,2,7,12,20,5,15,0,0,5,0,2,0,61,28,17,13,0,0,0,0,0,10,4,2,0,1,0,0,0,1,0,0,0,0,0,0,25,12,0,0,5,1,146,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,0.0,2.1785714285714284,True,True,True,True,True,True,,False,,True,False,True,False,,,,,,,,,,
03_counting_sort,5,partial-inliner mergereturn always-inline loop-unroll early-cse loop-vectorize dse gvn indvars adce elim-avail-extern simplifycfg div-rem-pairs lowerswitch,0.02472543399926508,561472,138,20,295,2,7,12,20,5,15,0,0,5,0,2,0,61,28,17,13,0,0,0,0,0,10,4,2,0,1,0,0,0,1,0,0,0,0,0,0,25,12,0,0,5,1,146,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,0.0,2.1785714285714284,True,True,True,True,True,,,,,,,,,True,pic,2,False,,,,,,
04_radix_sort,1,elim-avail-extern lowerswitch mem2reg mergereturn loop-deletion argpromotion ipsccp lower-constant-intrinsics instsimplify adce mem2reg licm inline loop-rotate loop-unroll-and-jam,0.03172954299952835,561520,173,30,381,4,7,13,30,8,22,0,0,8,0,4,0,75,37,24,16,0,0,0,2,0,9,4,3,4,4,0,0,0,1,0,0,0,0,0,0,38,13,0,0,10,3,196,59,0,6,0,7,0,8,5.766666666666667,0.6473988439306358,0.17341040462427745,0.11560693641618497,0.07514450867052024,0.0,2.027027027027027,True,True,True,True,True,,,False,,,,True,False,,,,,small,,,,,
04_radix_sort,4,always-inline lower-matrix-intrinsics dce correlated-propagation lower-constant-intrinsics deadargelim instsimplify annotation-remarks function-attrs,0.04127498799971363,561528,173,30,381,4,7,13,30,8,22,0,0,8,0,4,0,75,37,24,16,0,0,0,2,0,9,4,3,4,4,0,0,0,1,0,0,0,0,0,0,38,13,0,0,10,3,196,59,0,6,0,7,0,8,5.766666666666667,0.6473988439306358,0.17341040462427745,0.11560693641618497,0.07514450867052024,0.0,2.027027027027027,True,True,True,True,True,False,,,,,True,,,,,,,,False,,,,
04_radix_sort,5,globaldce correlated-propagation deadargelim tailcallelim loop-reduce,0.03565564199925575,561520,173,30,381,4,7,13,30,8,22,0,0,8,0,4,0,75,37,24,16,0,0,0,2,0,9,4,3,4,4,0,0,0,1,0,0,0,0,0,0,38,13,0,0,10,3,196,59,0,6,0,7,0,8,5.766666666666667,0.6473988439306358,0.17341040462427745,0.11560693641618497,0.07514450867052024,0.0,2.027027027027027,True,True,True,True,True,,,,,,,True,,,,,True,,,True,True,,
04_radix_sort,7,strip-dead-prototypes div-rem-pairs slp-vectorizer lower-constant-intrinsics argpromotion,0.03515370200148027,561528,173,30,381,4,7,13,30,8,22,0,0,8,0,4,0,75,37,24,16,0,0,0,2,0,9,4,3,4,4,0,0,0,1,0,0,0,0,0,0,38,13,0,0,10,3,196,59,0,6,0,7,0,8,5.766666666666667,0.6473988439306358,0.17341040462427745,0.11560693641618497,0.07514450867052024,0.0,2.027027027027027,True,True,True,True,True,False,True,False,,,,True,False,,static,,,,False,,True,,
02_selection_sort,1,partial-inliner gvn div-rem-pairs argpromotion argpromotion early-cse mem2reg,1.0477868930011027,561448,86,14,208,2,6,8,14,4,10,0,0,4,0,2,0,39,20,13,7,0,0,0,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,18,8,0,0,4,1,99,30,0,6,0,1,0,4,6.142857142857143,0.686046511627907,0.16279069767441862,0.08139534883720931,0.09302325581395349,0.0,1.95,True,True,True,True,True,,,False,,,False,False,,False,,,False,,,True,,False,
08_strassen_matrix,1,elim-avail-extern loop-deletion early-cse,0.16245288400023128,561544,266,44,532,4,6,19,44,11,33,0,0,11,0,4,0,121,51,31,30,0,0,0,0,0,13,2,7,0,2,0,0,0,1,0,0,0,0,0,0,55,19,0,0,11,1,232,91,0,6,0,1,0,8,6.045454545454546,0.6466165413533834,0.16541353383458646,0.08270676691729323,0.07142857142857142,0.0,2.372549019607843,True,True,True,True,True,False,False,,,False,,,,True,,,False,medium,,,,,
08_strassen_matrix,4,always-inline gvn gvn sroa loop-unroll,0.1681559999997262,561520,266,44,532,4,6,19,44,11,33,0,0,11,0,4,0,121,51,31,30,0,0,0,0,0,13,2,7,0,2,0,0,0,1,0,0,0,0,0,0,55,19,0,0,11,1,232,91,0,6,0,1,0,8,6.045454545454546,0.6466165413533834,0.16541353383458646,0.08270676691729323,0.07142857142857142,0.0,2.372549019607843,True,True,True,True,True,,,,False,,,,,,static,,,small,False,,,,
01_insertion_sort,3,elim-avail-extern instsimplify sccp sroa indvars lower-expect annotation-remarks annotation-remarks always-inline loop-deletion,1.5195352439986891,561456,80,13,197,2,6,8,13,4,9,0,0,4,0,2,1,34,18,12,6,0,0,0,0,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,1,17,8,0,0,5,1,91,28,0,6,0,1,0,4,6.153846153846154,0.65,0.1625,0.1,0.1,0.07692307692307693,1.8888888888888888,True,True,True,True,True,False,False,,,,,,True,,,,False,,,,True,,False
